TIPO,ID_PRUEBA,GRUPO,PRUEBA,ANALISIS,ID_REFERENCIA,POBLACION_ID,SEXO,VALOR_MIN,VALOR_MAX,UNIDAD,ID_TIPO_RESULTADO
compuesto,2,Hematologia,Hemograma,Eritrocitos,34,6,ambos,3000,6300,10?/mm³,3
compuesto,2,Hematologia,Hemograma,Eritrocitos,42,7,ambos,2700,5300,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,50,8,ambos,3900,5300,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,58,9,ambos,4000,5200,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,159,10,femenino,4144,5264,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,66,10,masculino,4480,6048,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,89,11,femenino,4144,5264,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,74,11,masculino,4480,6048,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,104,12,masculino,4144,5264,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,158,12,femenino,4144,6048,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,34,6,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,42,7,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,50,8,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,58,9,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,66,10,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,74,11,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,89,11,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,104,12,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,158,12,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,159,10,ambos,5500,8500,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,34,6,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,42,7,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,50,8,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,58,9,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,66,10,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,74,11,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,89,11,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,104,12,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,158,12,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Eritrocitos,159,10,ambos,5000,10000,"x 10³/ml³",3
compuesto,2,Hematologia,Hemograma,Hematocrito,36,6,ambos,31,66,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,44,7,ambos,28,39,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,52,8,ambos,34,40,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,60,9,ambos,35,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,154,10,femenino,36,47,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,68,10,masculino,37,50,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,91,11,femenino,36,47,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,76,11,masculino,37,50,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,155,12,femenino,36,47,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,106,12,masculino,37,50,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,36,6,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,44,7,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,52,8,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,60,9,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,68,10,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,76,11,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,91,11,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,106,12,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,154,10,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,155,12,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,132,6,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,133,7,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,134,8,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,135,9,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,136,10,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,137,10,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,138,11,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,139,11,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,140,12,ambos,37,55,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,141,12,ambos,37,55,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,36,6,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,44,7,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,52,8,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,60,9,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,68,10,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,76,11,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,91,11,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,106,12,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,154,10,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hematocrito,155,12,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,132,6,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,133,7,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,134,8,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,135,9,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,136,10,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,137,10,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,138,11,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,139,11,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,140,12,ambos,30,45,%,3
simple,17,Hematologia,Hematocrito,Hematocrito,141,12,ambos,30,45,%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,35,6,ambos,10,19.5,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,43,7,ambos,9,13.5,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,51,8,ambos,11.5,13.5,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,59,9,ambos,11.5,15.5,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,157,10,femenino,11,16,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,67,10,masculino,13,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,90,11,femenino,11,16,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,75,11,masculino,13,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,156,12,femenino,11,16,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,105,12,masculino,13,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,35,6,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,43,7,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,51,8,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,59,9,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,67,10,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,75,11,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,90,9,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,105,12,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,156,12,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,157,10,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,87,6,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,88,7,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,89,8,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,91,10,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,92,10,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,93,11,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,94,11,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,95,12,ambos,12,18,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,96,12,ambos,12,18,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,35,6,ambos,8,15,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,43,7,ambos,8,15,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,51,8,ambos,8,15,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,59,9,ambos,8,15,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,67,10,ambos,8,15,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,75,11,ambos,8,15,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,90,9,ambos,8,15,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,105,12,ambos,8,15,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,156,12,ambos,8,15,Gr%,3
compuesto,2,Hematologia,Hemograma,Hemoglobina,157,10,ambos,8,15,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,87,6,ambos,8,15,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,88,7,ambos,8,15,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,89,8,ambos,8,15,Gr%,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,91,10,ambos,8,15,Gr%,3
